O_10,O_100,O_200,O_300,O_400,O_500,N_10,N_100,N_200,N_300,N_400,N_500,P_10,P_100,P_200,P_300,P_400,P_500,Si_10,Si_100,Si_200,Si_300,Si_400,Si_500,Sal_10,Sal_100,Sal_200,Sal_300,Sal_400,Sal_500,T_10,T_100,T_200,T_300,T_400,T_500,Den_10,Den_100,Den_200,Den_500,Den_1000,Depth_27.1,Depth_27.3,Depth_27.6,Depth_27.9,MLD_Sum,MLD_Win
236.35938,210.38737,206.62226,204.00951,198.79525,203.04724,1.38313,7.91685,12.94256,17.44588,19.78234,24.43415,0.42764,0.80594,1.05338,1.29035,1.47605,1.70961,2.95591,5.68927,7.07162,9.31082,13.71887,15.40973,35.42873,35.27128,35.03009,34.84944,34.68353,34.52263,19.95083,14.34153,12.14633,10.41848,8.75891,7.09617,25.153628,26.403839,26.675235,27.16099,27.60542,450.27817,623.04281,983.07137,1492.415,19.615,
231.22141,228.29227,217.59571,208.958,203.53087,201.42381,0.54637,3.75526,10.38827,14.55314,18.20571,24.68567,0.24304,0.43651,0.81616,1.04651,1.29825,1.54093,2.50087,2.70948,5.0777,7.30699,10.23304,13.47578,35.58175,35.43751,35.17275,34.98061,34.78756,34.59805,20.70091,15.45182,13.16457,11.43391,9.63852,7.78446,25.012274,26.244644,26.542855,27.117487,27.57672,487.66128,646.62897,1017.4601,1539.2391,31.204,
229.76005,229.59206,221.05368,214.35517,210.61093,205.29306,0.27311,3.01355,9.12915,13.08178,16.83419,23.59289,0.19844,0.37074,0.72725,0.94244,1.1753,1.47148,2.34137,2.4451,4.42553,6.54658,8.77047,12.28218,35.64226,35.45752,35.22227,35.03172,34.84043,34.64695,20.70232,15.71482,13.53341,11.88535,10.11666,8.29797,25.012424,26.1845,26.501695,27.080192,27.55518,514.45133,673.59299,1042.2788,1553.7075,35.389,
227.47983,239.99654,224.71504,216.90919,212.96053,207.66048,0.06164,1.28541,6.57136,10.47176,14.57453,18.98877,0.15087,0.26486,0.54788,0.76872,1.01455,1.30073,1.77387,2.46849,2.80865,4.06897,5.70273,9.12725,35.8642,35.60719,35.41917,35.20608,35.01598,34.80775,21.65976,16.53446,14.78985,13.21096,11.55524,9.81747,24.974879,26.12326,26.399628,26.938529,27.46215,599.35441,797.171,1171.7493,1704.0131,26.254,
235.0595,241.85336,236.68016,230.60727,219.79296,220.08557,0.05722,2.00305,6.68422,10.81094,14.26586,19.21244,0.20193,0.34863,0.5765,0.79562,0.9957,1.31331,1.43907,2.07439,2.77284,3.68953,5.15023,8.37832,35.46059,35.40576,35.25874,35.1438,34.95805,34.72277,20.05756,15.28488,13.59741,12.54607,10.93387,9.0343,25.033041,26.238213,26.530937,27.00923,27.44448,574.03043,797.40196,1200.0255,1788.3306,27.316,
240.46445,244.50794,241.8354,234.779,226.7926,226.6416,0.13162,3.48365,6.02746,11.81876,16.23962,21.05897,0.24536,0.44729,0.68231,0.89866,1.1467,1.43422,1.11248,2.02673,2.78389,3.98976,6.08099,9.26843,35.20307,35.2486,35.1718,35.02765,34.82912,34.60352,19.14742,14.09932,12.69758,11.60532,9.97039,8.1207,25.162994,26.364516,26.6211,27.055388,27.44502,538.60664,774.57366,1201.8908,1799.5799,26.45,
245.31807,242.55836,241.07567,235.89744,235.47983,226.79574,0.22887,4.78856,7.36122,12.84906,18.15874,22.71435,0.25274,0.46784,0.80945,0.95581,1.32986,1.56943,0.94282,2.02857,3.07465,4.0808,6.76624,9.53588,35.18869,35.23692,35.15163,35.00836,34.77449,34.52828,18.73156,13.822,12.72517,11.51712,9.80376,7.83128,25.26252,26.392798,26.593597,27.029444,27.43622,550.79741,793.21095,1242.6811,1799.4939,18.996,
233.4776,237.15991,225.16947,228.53021,221.2052,217.89276,0.14608,2.49713,6.72715,9.87034,15.12605,22.04473,0.15633,0.32913,0.64503,0.73206,1.03144,1.38596,1.68079,1.67732,2.6847,3.08714,4.14795,7.20062,35.48097,35.55498,35.4514,35.26514,34.97357,34.68367,21.13905,15.68567,14.15826,13.07953,11.3706,9.28387,24.913069,26.294109,26.533214,26.953944,27.4301,602.16017,802.21036,1248.7691,1781.1969,21.596,
350.99851,312.27225,278.31157,250.3713,254.8753,213.35841,23.68834,28.79825,30.37115,30.88382,31.24806,32.23151,1.61482,1.98997,2.09878,2.14867,2.1881,2.19945,58.39476,65.7203,76.91504,82.26671,86.25291,105.13943,33.90685,34.38674,34.50333,34.54264,34.58518,34.63122,-0.93119,-1.52093,-0.74435,-0.54204,-0.33115,0.17244,27.459364,27.930211,28.018746,28.1542,28.20535,,-15.93588,29.58891,79.07826,10.244,
344.9062,280.4453,240.2416,220.95353,226.07728,207.56754,25.98452,31.29158,33.0372,32.43024,32.70452,32.54334,1.65298,2.08561,2.16877,2.21703,2.21637,2.25348,59.88009,77.32483,91.90538,99.42919,101.65648,110.43575,33.95736,34.44209,34.61997,34.65776,34.65959,34.68483,-0.50797,-1.17229,0.30579,0.64253,0.63798,0.72004,27.495816,27.97377,28.054807,28.156143,28.2089,,-18.54051,29.18797,74.06371,12.124,
345.58484,284.28947,247.21215,225.34574,232.32757,208.31814,26.23634,31.18378,32.94504,32.31552,32.5731,32.54113,1.66196,2.07489,2.15594,2.20941,2.20893,2.25057,59.93961,76.05523,89.13102,97.20342,99.35849,109.98628,33.92929,34.409,34.58585,34.62676,34.63353,34.67414,-0.66079,-1.2999,0.0052,0.39054,0.44528,0.628,27.489658,27.955564,28.045433,28.15847,28.20765,,-17.96439,29.86326,76.5069,11.503,
