Site,Latitude,Longitude,Zone,Sector,Depth,MRTClust,Density_Zone
GeoB2004,-30.87,14.35,STZ,ATL,2569,6,3
GeoB2007,-30.44,12.16,STZ,ATL,3906,6,3
GeoB2008,-31.09,11.74,STZ,ATL,4312,6,3
GeoB2016,-31.91,-1.3,STZ,ATL,3385,6,3
GeoB2018,-34.67,-6.55,STZ,ATL,4241,6,3
GeoB2019,-36.05,-8.77,STZ,ATL,3825,6,3
GeoB2021,-36.84,-14.41,STZ,ATL,3575,6,3
GeoB2022,-34.44,-20.91,STZ,ATL,4025,6,3
PS1380_1,-70.01,-9.99,AZ,ATL,2072,4,1
PS1386_1,-68.33,-5.62,AZ,ATL,4395,4,1
PS1387_1,-68.73,-5.84,AZ,ATL,2425,4,1
PS1394_1,-70.09,-6.68,AZ,ATL,1938,4,1
PS1455_4,-65.43,1.85,AZ,ATL,2660,4,1
PS1751_2,-44.5,10.48,SAZ,ATL,4770,5,3
PS1752_5,-45.62,9.61,SAZ,ATL,4507,2,3
PS1755_1,-47.79,7.1,SAZ,ATL,4263,2,3
PS1759_1,-50.17,5.76,AZ,ATL,3717,1,2
PS1765_1,-51.83,4.86,AZ,ATL,3749,1,2
PS1768_1,-52.59,4.47,AZ,ATL,3331,1,2
PS1771_4,-53.76,3.78,AZ,ATL,1811,1,2
PS1772_2,-55.46,1.16,AZ,ATL,4136,1,1
PS1773_2,-56.32,-0.48,AZ,ATL,3259,1,1
PS1774_1,-54.65,-2.87,AZ,ATL,2449,1,2
PS1775_5,-50.95,-7.5,AZ,ATL,2516,1,2
PS1776_6,-49.73,-8.77,PFZ,ATL,3155,1,2
PS1777_7,-48.23,-11.03,PFZ,ATL,2556,1,3
PS1778_1,-49.01,-12.7,PFZ,ATL,3361,2,3
PS1779_3,-50.4,-14.08,PFZ,ATL,3549,1,3
PS1780_1,-51.68,-15.27,PFZ,ATL,4262,1,2
PS1782_6,-55.19,-18.6,AZ,ATL,5016,1,2
PS1783_2,-54.91,-22.72,AZ,ATL,3390,1,2
PS1786_2,-54.93,-31.74,AZ,ATL,5756,1,2
PS1825_5,-66.33,8.89,AZ,ATL,4341,4,1
PS1831_5,-65.74,13.66,AZ,ATL,2354,4,1
PS1957_1,-65.67,-37.74,AZ,ATL,4727,3,1
PS1967_1,-65.96,-30.07,AZ,ATL,4847,3,1
PS1973_1,-66.89,-25.55,AZ,ATL,4841,4,1
PS1975_1,-67.51,-22.52,AZ,ATL,4893,3,1
PS1977_1,-68.28,-19.34,AZ,ATL,4838,3,1
PS1979_1,-69.37,-16.5,AZ,ATL,4735,4,1
PS2073_1,-39.59,14.57,STZ,ATL,4692,6,3
PS2076_1,-41.14,13.48,STZ,ATL,2086,6,3
PS2080_1,-41.72,13.05,SAZ,ATL,5078,6,3
PS2081_1,-42.69,12.19,SAZ,ATL,4794,5,3
PS2082_3,-43.22,11.76,SAZ,ATL,4661,5,3
PS2083_2,-46.37,7.05,SAZ,ATL,1955,2,3
PS2084_2,-47.02,7.96,SAZ,ATL,1664,2,3
PS2087_1,-49.13,6.71,PFZ,ATL,3451,2,3
PS2103_2,-51.33,-3.32,AZ,ATL,2947,1,2
PS2104_2,-50.74,-3.23,AZ,ATL,2592,1,2
PS2105_2,-48.69,-2.85,PFZ,ATL,3618,2,3
PS2109_3,-35,3.17,STZ,ATL,5041,6,3
PS2254,-43.97,-50.07,SAZ,ATL,5341,5,3
PS2256,-44.52,-44.45,SAZ,ATL,5111,5,3
PS2487,-35.82,18.1,STZ,ATL,2942,6,3
PS2488,-38.56,15.8,STZ,ATL,4888,6,3
PS2489,-42.88,8.97,SAZ,ATL,3795,5,3
PS2491,-44.96,5.97,SAZ,ATL,4323,2,3
PS2492,-43.18,-4.05,SAZ,ATL,4197,5,3
PS2493,-42.89,-6.02,SAZ,ATL,4174,5,3
PS2494,-41.69,-12.34,SAZ,ATL,3324,5,3
PS2495,-41.29,-14.5,STZ,ATL,3135,5,3
PS2496,-42.99,-14.64,SAZ,ATL,3518,5,3
PS2498,-44.15,-14.23,SAZ,ATL,3782,5,3
