Longitude,Latitude
14.35,-30.87
12.16,-30.44
11.74,-31.09
-1.3,-31.91
-6.55,-34.67
-8.77,-36.05
-14.41,-36.84
-20.91,-34.44
-9.99,-70.01
-5.62,-68.33
-5.84,-68.73
-6.68,-70.09
1.85,-65.43
10.48,-44.5
9.61,-45.62
7.1,-47.79
5.76,-50.17
4.86,-51.83
4.47,-52.59
3.78,-53.76
1.16,-55.46
-0.48,-56.32
-2.87,-54.65
-7.5,-50.95
-8.77,-49.73
-11.03,-48.23
-12.7,-49.01
-14.08,-50.4
-15.27,-51.68
-18.6,-55.19
-22.72,-54.91
-31.74,-54.93
8.89,-66.33
13.66,-65.74
-37.74,-65.67
-30.07,-65.96
-25.55,-66.89
-22.52,-67.51
-19.34,-68.28
-16.5,-69.37
14.57,-39.59
13.48,-41.14
13.05,-41.72
12.19,-42.69
11.76,-43.22
7.05,-46.37
7.96,-47.02
6.71,-49.13
-3.32,-51.33
-3.23,-50.74
-2.85,-48.69
3.17,-35
-50.07,-43.97
-44.45,-44.52
18.1,-35.82
15.8,-38.56
8.97,-42.88
5.97,-44.96
-4.05,-43.18
-6.02,-42.89
-12.34,-41.69
-14.5,-41.29
-14.64,-42.99
-14.23,-44.15
