O_10,O_100,O_200,O_300,O_400,O_500,N_10,N_100,N_200,N_300,N_400,N_500,P_10,P_100,P_200,P_300,P_400,P_500,Si_10,Si_100,Si_200,Si_300,Si_400,Si_500,Sal_10,Sal_100,Sal_200,Sal_300,Sal_400,Sal_500,T_10,T_100,T_200,T_300,T_400,T_500,Den_10,Den_100,Den_200,Den_500,Den_1000,Depth_27.1,Depth_27.3,Depth_27.6,Depth_27.9,MLD_Sum,MLD_Win
340.58402,257.42201,225.49184,194.61891,200.68327,204.23988,26.87356,31.15139,31.51386,31.64332,31.62219,31.30041,1.76227,2.10097,2.13808,2.16577,2.16197,2.16886,44.65115,74.49159,83.6445,90.28257,96.26093,97.13006,33.80726,34.38504,34.52288,34.58314,34.62448,34.64782,-0.0755,-1.09416,0.11192,0.11219,0.32739,0.3824,27.332542,27.91003,27.978452,28.088762,28.17321,-18.54129,0.68961,38.34994,88.93621,18.088,15.988
340.93317,249.95703,219.2216,191.81875,199.02444,203.17292,26.92995,31.29159,31.55469,31.7195,31.69486,31.36823,1.76454,2.10997,2.14054,2.16781,2.16531,2.17693,44.72327,75.92364,85.04491,91.09077,96.69604,98.05405,33.79529,34.39473,34.54429,34.59192,34.62675,34.64945,-0.08796,-0.99705,0.22727,0.14648,0.30937,0.36073,27.330034,27.926533,27.992539,28.083412,28.17615,-17.48513,0.70763,37.34881,82.80953,18.422,16.356
339.08775,282.02963,251.3518,231.74642,235.21141,212.92585,26.76338,30.79327,31.27713,31.01512,31.08959,31.20733,1.75894,2.0665,2.12398,2.12076,2.12063,2.16491,46.52627,69.35819,77.83335,82.18999,88.35041,91.93454,33.84642,34.3766,34.51627,34.60233,34.63992,34.67474,0.16119,-1.12846,-0.11735,0.25539,0.52814,0.72187,27.314939,27.867432,27.939301,28.086126,28.19271,-19.9414,2.66021,44.12192,116.7981,13.082,5.204
279.29266,279.74114,266.47406,247.36172,237.44456,229.95603,11.72804,15.56733,21.39535,23.73216,27.70325,29.04246,1.11407,1.22903,1.54637,1.72688,1.85218,2.0406,3.62247,6.98294,13.04264,17.88778,23.96551,30.32862,33.80734,33.93565,34.02673,34.16802,34.22152,34.26472,9.50829,5.15222,3.95144,3.896,3.59062,3.25512,26.199143,26.899299,27.122898,27.391536,27.71583,201.25638,372.20547,792.56886,1366.8328,24.083,33.335
286.94167,288.91129,276.52736,254.51249,234.74241,223.29491,12.81494,18.56747,23.94428,26.45499,30.03258,31.04188,1.23692,1.54748,1.6787,1.89157,1.99608,2.18338,3.01493,7.62002,15.28438,20.73846,27.81857,35.2008,33.72944,33.8327,33.93057,34.11505,34.18217,34.2679,8.23314,4.66987,2.94251,3.2718,2.97323,2.83311,26.312923,26.920754,27.188118,27.464182,27.79545,164.89491,295.65773,664.16823,1227.4931,29.694,16.095
288.35292,284.3306,260.37668,257.78772,251.48518,240.4481,14.86509,16.64746,21.12014,23.28571,25.76389,27.87084,1.02607,1.14352,1.32888,1.46677,1.62699,1.7634,1.3574,1.54821,5.41891,9.48776,13.36843,18.26093,34.08331,34.27187,34.46728,34.44018,34.40097,34.34462,9.13571,8.87928,8.70587,8.02963,7.2171,6.19971,26.466222,26.685725,26.880329,27.196191,27.58861,379.57239,612.35601,993.33484,1578.5466,52.719,73.337
279.36188,279.83165,266.52826,247.41541,237.41677,229.92425,11.7339,15.59132,21.41641,23.75682,27.73046,29.06113,1.11567,1.23195,1.54766,1.72921,1.85427,2.04249,3.61391,6.98945,13.05237,17.91558,24.00607,30.36792,33.8047,33.93354,34.02566,34.16682,34.22077,34.26442,9.496,5.14091,3.94528,3.87967,3.5763,3.24364,26.199974,26.900286,27.123598,27.39258,27.71673,200.7542,371.49612,790.82649,1365.3706,24.035,33.185
294.45939,295.51998,285.08258,259.02571,234.50007,220.00814,15.50535,20.50223,25.89678,27.9509,30.86782,31.97933,1.35295,1.64134,1.76356,1.94845,2.05597,2.24547,3.90087,8.50809,17.68778,23.81525,31.78508,40.41147,33.73949,33.82182,33.94005,34.10267,34.19047,34.28271,6.92741,4.29278,2.8151,2.88033,2.64412,2.59943,26.455692,26.955053,27.2206,27.526091,27.85809,144.37441,257.65451,577.89523,1092.6258,39.632,34.062
324.3215,314.90534,287.84388,251.4984,220.64066,201.62024,22.66818,24.70847,28.19455,30.54098,31.99845,34.50927,1.60641,1.83198,1.95209,2.27977,2.40841,2.42998,6.9069,14.27512,32.81581,47.32681,62.62242,59.56047,33.827,33.87387,34.02688,34.22359,34.3329,34.45221,4.56154,3.28251,1.84516,1.93318,2.09756,2.15785,26.910167,27.093537,27.364015,27.720888,27.94446,94.67755,172.34383,350.07311,735.30921,46.691,47.513
322.85683,317.57528,299.4087,253.55269,222.45751,198.38528,23.74925,24.97642,28.34416,31.30933,33.23803,34.50574,1.50454,1.60229,1.90479,2.12522,2.31105,2.2644,8.33695,13.25664,28.40807,41.41767,52.57921,57.01523,33.84503,33.86984,33.97277,34.14011,34.2643,34.37679,4.1966,3.27621,1.85809,2.08404,2.25831,2.29745,26.956162,27.089772,27.329964,27.659184,27.92262,96.61542,180.55687,419.14399,854.69175,59.864,14.976
289.45463,285.79271,262.38772,258.0146,253.42381,234.57112,16.38813,18.24367,23.56401,25.15035,27.60586,29.59384,0.99695,1.13568,1.31442,1.48118,1.64028,1.77404,1.92233,1.92636,6.99172,12.81769,17.75084,23.33216,34.00097,34.22606,34.41366,34.41337,34.38633,34.33641,9.10579,8.76705,8.40512,7.55751,6.75937,5.63417,26.485943,26.724808,26.961897,27.287647,27.63408,292.19032,507.86055,906.87959,1501.603,71.029,91.268
298.30291,308.49401,286.59001,266.36858,252.28156,241.2527,17.95451,21.09967,23.44591,26.36906,28.15847,29.54529,1.21352,1.33417,1.52694,1.6921,1.8295,1.96418,3.61334,6.32866,13.15213,16.66085,21.63612,27.68245,33.81809,33.87052,33.97655,34.12457,34.16805,34.19385,7.69287,5.78637,4.60092,4.31885,3.84454,3.36871,26.485707,26.855911,27.132275,27.451819,27.76159,179.62934,313.29924,713.63021,1305.5119,52.24,11.663
