O_10,O_100,O_200,O_300,O_400,O_500,N_10,N_100,N_200,N_300,N_400,N_500,P_10,P_100,P_200,P_300,P_400,P_500,Si_10,Si_100,Si_200,Si_300,Si_400,Si_500,Sal_10,Sal_100,Sal_200,Sal_300,Sal_400,Sal_500,T_10,T_100,T_200,T_300,T_400,T_500,Den_10,Den_100,Den_200,Den_500,Den_1000,Depth_27.1,Depth_27.3,Depth_27.6,Depth_27.9,MLD_Sum,MLD_Win
347.23139,285.73489,249.73178,240.9104,239.51733,239.75267,22.11376,28.8586,30.68572,31.16723,31.13274,31.09333,1.53698,1.96971,2.02321,2.10768,2.12275,2.13634,55.12152,69.39868,76.87201,80.88361,83.56266,86.65215,34.02286,34.30858,34.44213,34.53536,34.59536,34.65349,-1.01803,-1.25469,-0.65434,-0.44833,-0.33916,-0.43677,27.622258,27.895465,27.981935,28.343853,28.1378,,-19.75242,12.36304,88.07043,21.715,17.441
343.64951,276.52001,236.81544,232.63271,215.75414,213.98864,23.72253,29.17761,31.08368,31.46182,31.87552,31.73651,1.57832,1.92822,2.04587,2.09677,2.12133,2.16213,58.52964,70.94514,80.30151,82.99098,87.35177,90.86605,34.08774,34.39633,34.55098,34.62185,34.66955,34.731,-0.85834,-1.01938,-0.4909,-0.28559,-0.15062,0.20732,27.680775,27.933022,28.03079,28.278825,,,,5.17615,72.47973,27.122,16.909
344.618,276.95395,240.31527,240.85614,220.86818,227.66677,23.38088,29.19675,31.01367,31.37376,31.87558,31.56238,1.54349,1.91438,2.03303,2.0678,2.07838,2.10745,60.12605,72.39717,80.87354,82.015,85.89206,85.07184,34.19309,34.43579,34.56077,34.62034,34.68043,34.7289,-0.75189,-1.03275,-0.75782,-0.82242,-0.78595,-1.01693,27.740342,27.9621,28.072895,28.402454,28.1874,,,3.30282,59.76549,,16.97
356.91807,290.26542,262.47039,269.90799,267.20402,288.12604,20.28961,28.78604,30.07543,30.56874,30.48005,30.28184,1.36444,1.86612,1.97851,1.95772,1.93869,1.89216,60.87021,74.3525,77.335,75.85784,74.51282,75.51997,34.29797,34.53657,34.65245,34.71708,34.77244,34.81356,-0.57885,-1.21352,-1.51848,-1.80722,-1.8616,-1.94229,27.816314,28.091776,28.46579,28.788462,,,,,28.52736,26.229,12.337
349.01948,291.31928,260.12522,268.80505,259.9672,280.85164,23.60375,29.25913,30.0192,30.27177,30.24383,29.69964,1.51026,1.87762,1.95729,1.99062,1.97344,1.97429,62.66656,77.28522,82.71623,81.39261,81.60121,81.01934,34.17233,34.52234,34.67902,34.74717,34.78869,34.87154,-0.85284,-1.02045,-1.23265,-1.66203,-1.66651,-1.91082,27.766542,28.058896,28.441312,28.762936,,,,,38.3714,24.039,11.279
353.72881,290.83796,266.71676,277.22416,281.87445,279.80361,19.6524,27.98437,29.96054,30.4995,30.39853,30.54741,1.3213,1.80325,1.84577,1.95505,1.99995,2.03745,55.53171,72.83484,75.17092,76.56609,76.41826,78.13108,34.23198,34.37037,34.46492,34.51917,34.57121,34.7277,-0.89437,-1.46122,-1.31568,-1.53073,-1.7505,-1.92505,27.79332,27.931912,27.999367,28.615827,,,,,62.16605,31.507,30.403
377.43047,299.44511,286.00827,263.86754,249.15468,285.62089,13.86814,28.45001,29.46714,29.84373,30.01503,30.11069,1.09203,1.85698,1.91338,1.91579,1.99761,1.93853,52.91895,65.90687,65.31319,66.83105,66.16766,71.33348,34.20253,34.61566,34.72238,34.78766,34.80608,34.81618,-0.99442,-1.66497,-1.75312,-1.81648,-1.86121,-1.90551,27.697259,28.544601,28.655003,28.773056,28.90753,,,4.04361,23.2286,5.468,7.802
290.27454,284.13866,279.5169,271.88483,261.33787,251.39667,15.78316,17.03325,18.91743,19.87513,20.86036,22.38721,1.06435,1.05283,1.1303,1.2423,1.36088,1.4464,2.67533,3.99044,4.27392,5.20051,7.0368,10.56237,34.29362,34.36132,34.43456,34.43921,34.41208,34.38971,8.98871,8.3133,7.77481,7.6544,7.36629,7.14117,26.622789,26.819908,26.961016,27.104204,27.49785,462.89329,702.10976,1106.1732,1675.3849,73.535,226.245
347.21021,276.5698,228.12458,207.87137,203.43218,204.13612,21.29178,30.83407,32.05525,32.34411,32.62767,32.75303,1.46601,1.96799,2.02548,2.10676,2.11346,2.11889,67.71126,81.27483,88.88536,93.26843,96.21359,101.21264,33.76134,34.44227,34.60128,34.6768,34.69513,34.70377,-0.76148,-1.14388,0.11131,0.6808,0.81783,0.84273,27.387485,27.986142,28.069855,28.139783,28.21372,-22.68089,-5.71988,36.35515,70.95752,16.098,15.396
216.61719,208.05031,197.47916,191.20551,191.758,190.22402,0.29853,1.9023,6.86688,10.22441,14.32388,18.33658,0.12674,0.1998,0.56146,0.74232,0.97117,1.20447,1.6998,2.10065,2.67853,3.81083,5.80142,8.34741,35.66572,35.60792,35.50997,35.31853,35.10295,34.88973,23.42723,18.88651,16.68256,14.56523,12.49177,10.75087,24.317858,25.51407,25.983153,26.781295,27.34676,744.39545,949.69653,1300.0479,1894.6301,30.516,107.004
222.77318,218.2098,210.51224,203.25384,199.22237,198.41519,0.12381,5.57776,8.92577,13.46657,17.81598,20.70395,0.22628,0.46474,0.69498,0.88272,1.08368,1.27724,1.42447,1.75046,3.5146,5.369,7.02516,9.87964,35.50698,35.42311,35.28595,35.08527,34.88606,34.72836,20.15596,15.243,13.5521,12.1078,10.66868,9.40809,25.092728,26.228694,26.521188,26.933067,27.36392,697.29414,904.78769,1300.06,1881.1816,31.605,131.065
234.18892,234.93228,228.7881,217.13113,211.08854,208.21839,0.25526,7.58351,11.34218,14.998,19.50047,20.48134,0.23683,0.47124,0.6441,0.91729,1.1106,1.32755,1.08756,1.92671,3.16714,5.47519,5.78757,8.53508,35.27159,35.28127,35.17605,35.02146,34.85569,34.69497,18.07568,13.7344,12.50368,11.50165,10.31639,9.26701,25.38745,26.486194,26.67036,26.936733,27.34777,705.78596,945.45603,1295.727,1873.479,27.48,133.894
347.73936,278.40262,230.58194,208.74547,203.93558,204.70028,21.18206,30.79672,32.02352,32.36303,32.65209,32.79428,1.4688,1.96322,2.02674,2.10247,2.11026,2.1154,68.36893,81.09415,88.81812,93.09363,96.17927,101.56801,33.77224,34.43472,34.58909,34.66746,34.68762,34.69867,-0.8227,-1.16445,0.03832,0.65596,0.79331,0.82871,27.405314,27.981925,28.065441,28.1372,28.21298,-23.46873,-7.95158,35.50987,70.83149,16.053,18.191
276.46338,279.46595,272.53868,272.12803,270.94373,260.98575,10.03159,16.13687,17.90621,18.62759,18.86169,21.54797,0.71889,0.88278,1.09642,1.21175,1.32054,1.28419,1.4524,2.41583,5.43106,5.59632,8.90307,11.47621,34.3309,34.3628,34.37465,34.37863,34.37714,34.35709,11.3874,8.16354,7.45007,7.34125,7.10746,6.69593,26.289064,26.818186,26.994376,27.08994,27.45889,480.76455,808.92155,1197.3465,,34.048,128.035
280.90495,281.34218,274.51785,274.52834,270.54229,262.37871,11.88552,14.9642,16.63973,19.92917,18.98443,18.48042,0.6346,0.87797,1.01719,1.27272,1.40795,1.2614,1.63235,3.63256,5.85254,6.93926,10.48086,10.98489,34.28753,34.34958,34.39823,34.38823,34.35891,34.34105,10.21786,7.97361,7.5425,7.26455,6.92438,6.53591,26.322097,26.872346,27.00671,27.114488,27.51936,426.77866,702.42699,1086.5079,,38.982,236.013
258.67417,243.41015,242.04673,245.48047,246.5626,252.17705,1.41114,9.57937,13.00445,15.1762,17.85629,20.64296,0.24322,0.63244,0.70944,0.96591,1.10898,0.9841,2.34405,3.42201,4.40697,5.61074,6.871,10.30935,34.71128,34.77351,34.73967,34.65619,34.57106,34.51155,15.68094,11.46386,10.23078,9.28191,8.52939,7.9851,25.692895,26.604696,26.823029,27.022304,27.36938,644.23385,905.67035,1274.843,1901.913,25.596,110.656
218.33282,204.98766,196.40374,193.24328,194.57097,194.60805,0.26036,3.03123,7.40341,11.27897,15.07313,19.44427,0.13952,0.2812,0.65173,0.80824,0.96417,1.14769,1.73642,2.06674,3.29653,4.54726,6.18811,8.30675,35.67381,35.56887,35.42859,35.24886,35.02382,34.83054,22.71546,17.95821,15.45422,13.50726,11.6679,10.13597,24.515343,25.704689,26.202629,26.858916,27.35716,711.31207,929.0347,1293.457,1877.434,31.287,91.447
342.24422,265.87684,203.8714,194.25786,194.5145,194.8961,25.55477,30.23054,31.24272,32.3999,32.45919,32.59851,1.60892,1.95989,2.04318,2.15165,2.15247,2.1412,58.62,72.95939,87.67695,92.47917,96.38844,96.9744,33.74706,34.39191,34.64637,34.69977,34.7128,34.71864,-0.47878,-0.85804,1.11801,1.3445,1.32823,1.26068,27.402414,27.923871,28.023357,28.088018,28.14885,-31.88242,-9.04831,43.96854,85.12177,9.754,16.604
353.53921,286.37347,260.90843,273.0951,271.18411,275.43373,19.69147,28.02892,30.19091,30.71528,30.75544,30.7756,1.32877,1.79271,1.9165,1.94112,1.97188,2.01391,57.77638,71.76759,74.66808,75.86706,75.4397,76.3177,34.29165,34.43215,34.52077,34.55835,34.61401,34.7749,-0.94433,-1.41253,-1.44363,-1.649,-1.85877,-1.95835,27.818091,27.950207,28.022059,28.645902,,,,,53.58514,34.32,32.976
352.83158,285.67982,260.90765,273.14038,269.89912,276.12848,19.80993,28.19073,30.27003,30.74898,30.78062,30.77657,1.33671,1.81703,1.93383,1.94405,1.97228,2.00669,58.4489,72.06608,75.13471,75.74747,75.32382,75.93944,34.30769,34.44396,34.5295,34.56619,34.6185,34.77774,-0.95854,-1.41757,-1.47684,-1.679,-1.89373,-1.96952,27.824207,27.956206,28.031799,28.652925,,,,,50.73664,34.456,33.534
351.26506,284.24187,260.64646,271.27572,265.26339,271.09589,20.11717,28.50456,30.4432,30.89379,30.97597,30.94934,1.35847,1.86214,1.9717,1.96808,1.97444,2.01851,60.01766,72.69348,76.15917,75.76109,75.79479,76.15456,34.35032,34.48805,34.55986,34.59763,34.6775,34.7892,-0.94433,-1.39878,-1.5557,-1.77186,-1.92379,-1.96741,27.843385,27.976863,28.07554,28.653458,,,,,32.81213,,33.477
352.56769,285.6612,260.31514,271.90377,268.25651,273.78977,19.93354,28.18563,30.27998,30.76231,30.80819,30.80632,1.34437,1.81607,1.93458,1.9486,1.97809,2.01215,58.36303,71.96544,75.18613,75.96448,75.70003,76.48623,34.30017,34.44064,34.52552,34.56309,34.61667,34.77343,-0.92005,-1.39557,-1.45533,-1.66075,-1.87287,-1.96192,27.819016,27.955611,28.029494,28.643772,,,,,51.58167,33.854,32.455
