Site,Latitude,Longitude,Zone,Sector,Depth,Cluster,MRTClust,Density_Zone
A452,-75.58,186.7,AZ,SWP,1253,1,1,1
A455,-74.37,181.4169,AZ,SWP,314,1,1,1
A456,-74.5,179.6666,AZ,SWP,235,1,1,1
A459,-75.28,172.3331,AZ,SWP,520,1,1,1
A461,-73.53,171.3666,AZ,SWP,564,1,1,1
A466,-78.43,185.1669,AZ,SWP,555,1,1,1
A592,-77.48,165.875,AZ,SWP,865,1,1,1
B32,-53.63,169.87,SAZ,SWP,799,2,3,3
D216,-67.24,164.0748,AZ,SWP,463,1,1,1
DSDP590B,-31.17,163.36,STZ,SWP,1299,2,5,3
DSDP592,-36.47,165.44,STZ,SWP,1088,2,5,3
DSDP593A,-40.51,167.68,STZ,SWP,1068,2,5,3
E208,-67.46,164.3998,AZ,SWP,490,1,1,1
F104,-48.67,170.81,SAZ,SWP,801,2,3,3
F150,-49.47,174.47,SAZ,SWP,501,2,3,3
F755,-43,174.5,STZ,SWP,854,3,3,3
G820,-33.15,162.6,STZ,SWP,793,2,5,3
G837,-67.7,175.3331,AZ,SWP,3430,1,1,1
G838,-77.5,181.4333,AZ,SWP,627,1,1,1
G846,-77.57,180.9933,AZ,SWP,621,1,1,1
G850,-77.58,180,AZ,SWP,633,1,1,1
G855,-77.32,181.145,AZ,SWP,601,1,1,1
G944,-40.12,179.99,STZ,SWP,2890,2,6,3
G977,-33.86,185.93,STZ,SWP,5883,2,5,3
H550,-46.45,180.76,SAZ,SWP,3538,2,3,3
H555,-45.92,178.98,SAZ,SWP,2738,2,3,3
H564,-47.04,174.08,SAZ,SWP,1429,5,2,3
J1049,-44.5,178.73,SAZ,SWP,1339,2,3,3
J21,-39,169.65,STZ,SWP,560,2,4,3
J39,-37,170,STZ,SWP,2096,2,5,3
J50,-36.67,170.65,STZ,SWP,2112,2,5,3
J51,-36.87,170.7,STZ,SWP,2000,2,5,3
J668,-36.39,177.65,STZ,SWP,2571,2,6,3
KN7812_01BC,-48.73,173.73,SAZ,SWP,638,2,3,3
KN7812_02BC,-57.81,174.23,PFZ,SWP,5344,5,2,3
KN7812_04BC,-61.77,174.42,PFZ,SWP,4240,5,2,2
KN7812_06BC,-63.29,174.78,AZ,SWP,2429,5,2,2
KN7812_11BC,-63.63,190.68,AZ,SWP,2783,6,2,2
NBP_MC1,-73.54,183.04,AZ,SWP,561,6,2,1
NBP_MC10,-53.04,185.31,SAZ,SWP,5470,5,2,3
NBP9802_05MC1,-63.11,190.26,AZ,SWP,2927,5,2,2
NBP9802_07MC1,-60.24,189.81,PFZ,SWP,3860,5,2,2
NBP9802_08MC1,-58.69,190.02,PFZ,SWP,4324,5,2,2
ODP1121A,-50.9,177,SAZ,SWP,4492,5,2,3
ODP1123B,-41.79,188.5,STZ,SWP,3290,2,6,3
ODP1170C,-47.15,146.05,SAZ,SWP,2703,2,3,3
ODP1172C,-43.96,149.93,STZ,SWP,2622,2,5,3
P69,-40.4,177.99,STZ,SWP,2195,2,6,3
P72,-33.18,175.53,STZ,SWP,3757,2,6,3
P81,-34.02,173.51,STZ,SWP,2036,2,6,3
P933,-41.66,165.22,STZ,SWP,4421,2,5,3
P937,-41.32,166.46,STZ,SWP,3253,2,5,3
Q203,-45.96,175.06,SAZ,SWP,1668,2,3,3
Q220,-44.29,174.98,SAZ,SWP,580,2,3,3
Q575,-45.33,185.92,SAZ,SWP,4680,2,6,3
Q582,-46.6,182.08,SAZ,SWP,4440,5,3,3
Q585,-49.67,182.01,SAZ,SWP,4500,5,2,3
Q633,-38.46,148.89,STZ,SWP,2350,2,5,3
Q636,-38.82,149.01,STZ,SWP,2450,2,5,3
Q689,-42.25,170.01,STZ,SWP,948,2,3,3
Q699,-42.42,169.3,STZ,SWP,698,2,3,3
Q720,-41.73,169.84,STZ,SWP,960,2,5,3
Q859,-39.94,181.51,STZ,SWP,3654,2,6,3
R657,-42.53,181.51,STZ,SWP,1408,2,6,3
S631,-45.33,172.11,SAZ,SWP,1329,2,3,3
S793,-36.32,176.8,STZ,SWP,2411,2,6,3
S924,-41.58,188.5,STZ,SWP,3550,2,6,3
S931,-39.46,183.59,STZ,SWP,4096,2,6,3
SO136_003,-42.3,169.88,STZ,SWP,958,2,3,3
SO136_005,-42.31,169.87,STZ,SWP,958,2,3,3
SO136_011,-42,170,STZ,SWP,1556,2,3,3
SR156,-31.57,153.56,STZ,SWP,3770,2,6,3
SR208,-33.51,165.04,STZ,SWP,3040,2,5,3
SR223,-33.53,166.53,STZ,SWP,2860,2,6,3
Tan0333,-49.32,176.61,SAZ,SWP,1433,2,3,3
Tan08127,-57.56,160.87,PFZ,SWP,3830,6,2,3
Tan0827,-49.52,164.61,SAZ,SWP,3250,2,3,3
Tan0840,-50.43,164.29,SAZ,SWP,3524,2,3,3
U12,-32.29,180.36,STZ,SWP,3192,2,5,3
U169,-35.94,177.47,STZ,SWP,2550,2,6,3
U175,-35.38,177.95,STZ,SWP,3091,2,6,3
U178,-34.91,178,STZ,SWP,3148,2,6,3
U203,-35.55,159.1,STZ,SWP,4744,2,5,3
U226,-38.62,165.6,STZ,SWP,2297,2,5,3
U938,-45.08,179.51,SAZ,SWP,2700,2,3,3
U951,-42.72,176.91,STZ,SWP,850,3,6,3
W266,-42.22,179.36,STZ,SWP,2540,2,6,3
X250,-36.67,177.19,STZ,SWP,2835,2,6,3
Z3200,-33.65,174.15,STZ,SWP,2133,2,6,3
