Longitude,Latitude
186.7,-75.58
181.4169,-74.37
179.6666,-74.5
172.3331,-75.28
171.3666,-73.53
185.1669,-78.43
165.875,-77.48
169.87,-53.63
164.0748,-67.24
163.36,-31.17
165.44,-36.47
167.68,-40.51
164.3998,-67.46
170.81,-48.67
174.47,-49.47
174.5,-43
162.6,-33.15
175.3331,-67.7
181.4333,-77.5
180.9933,-77.57
180,-77.58
181.145,-77.32
179.99,-40.12
185.93,-33.86
180.76,-46.45
178.98,-45.92
174.08,-47.04
178.73,-44.5
169.65,-39
170,-37
170.65,-36.67
170.7,-36.87
177.65,-36.39
173.73,-48.73
174.23,-57.81
174.42,-61.77
174.78,-63.29
190.68,-63.63
183.04,-73.54
185.31,-53.04
190.26,-63.11
189.81,-60.24
190.02,-58.69
177,-50.9
188.5,-41.79
146.05,-47.15
149.93,-43.96
177.99,-40.4
175.53,-33.18
173.51,-34.02
165.22,-41.66
166.46,-41.32
175.06,-45.96
174.98,-44.29
185.92,-45.33
182.08,-46.6
182.01,-49.67
148.89,-38.46
149.01,-38.82
170.01,-42.25
169.3,-42.42
169.84,-41.73
181.51,-39.94
181.51,-42.53
172.11,-45.33
176.8,-36.32
188.5,-41.58
183.59,-39.46
169.88,-42.3
169.87,-42.31
170,-42
153.56,-31.57
165.04,-33.51
166.53,-33.53
176.61,-49.32
160.87,-57.56
164.61,-49.52
164.29,-50.43
180.36,-32.29
177.47,-35.94
177.95,-35.38
178,-34.91
159.1,-35.55
165.6,-38.62
179.51,-45.08
176.91,-42.72
179.36,-42.22
177.19,-36.67
174.15,-33.65
