Site,Latitude,Longitude,Zone,Sector,Depth
A452,-75.58,186.7,AZ,SWP,1253
A455,-74.37,181.4169,AZ,SWP,314
A456,-74.5,179.6666,AZ,SWP,235
A459,-75.28,172.3331,AZ,SWP,520
A461,-73.53,171.3666,AZ,SWP,564
A466,-78.43,185.1669,AZ,SWP,555
A592,-77.48,165.875,AZ,SWP,865
B32,-53.63,169.87,SAZ,SWP,799
D216,-67.24,164.0748,AZ,SWP,463
E208,-67.46,164.3998,AZ,SWP,490
F104,-48.67,170.81,SAZ,SWP,801
F150,-49.47,174.47,SAZ,SWP,501
G837,-67.7,175.3331,AZ,SWP,3430
G838,-77.5,181.4333,AZ,SWP,627
G846,-77.57,180.9933,AZ,SWP,621
G850,-77.58,180,AZ,SWP,633
G855,-77.32,181.145,AZ,SWP,601
H550,-46.45,180.76,SAZ,SWP,3538
H555,-45.92,178.98,SAZ,SWP,2738
H564,-47.04,174.08,SAZ,SWP,1429
IN2017V01_MC01,-64.47,115.6,AZ,IND,2163
IN2017V01_MC02,-64.46,115,AZ,IND,1862
IN2017V01_MC06,-64.73,118.7,AZ,IND,3320
J1049,-44.5,178.73,SAZ,SWP,1339
KN7812_01BC,-48.73,173.73,SAZ,SWP,638
KN7812_02BC,-57.81,174.23,PFZ,SWP,5344
KN7812_04BC,-61.77,174.42,PFZ,SWP,4240
KN7812_06BC,-63.29,174.78,AZ,SWP,2429
KN7812_11BC,-63.63,190.68,AZ,SWP,2783
MD02_2483,-43.39,49.79,SAZ,IND,2300
MD02_2484,-45.08,53.33,SAZ,IND,3400
MD02_2486,-47,89.11,SAZ,IND,3380
MD04_2714,-43.4,49.82,SAZ,IND,2300
MD04_2716,-46.17,52.93,PFZ,IND,3320
MD04_2720,-49.13,71.37,AZ,IND,750
MD11_3353,-50.567,68.3855,AZ,IND,1568
MD12_3396CQ,-47.73,86.7,SAZ,IND,3630
MD19_3575CQ,-46.04716667,44.37016667,SAZ,IND,2410
MD19_3577CQ,-46.18483333,49.1895,PFZ,IND,857
MD19_3579CQ,-45.73233333,52.02583333,PFZ,IND,2766
MD19_3580,-45.73316667,52.02533333,PFZ,IND,2748
MD88_764,-44.4,65.13,SAZ,IND,4530
MD88_765,-47.02,76.93,PFZ,IND,3420
MD88_766,-46.65,79.47,SAZ,IND,2920
MD88_767,-46.67,79.5,SAZ,IND,2930
MD88_768,-45.75,82.93,SAZ,IND,3330
MD88_769,-46.07,90.11,SAZ,IND,3420
MD88_770,-46.02,96.46,SAZ,IND,3290
MD88_771,-49.92,100.11,PFZ,IND,3310
MD88_772,-50.02,104.9,PFZ,IND,3240
MD88_793,-62.49,95.93,AZ,IND,3790
MD88_794,-58.99,89.4,AZ,IND,4595
MD88_795,-50.84,68.02,AZ,IND,1870
MD94_01B,-42.5,79.42,SAZ,IND,2920
MD94_02B,-45.59,86.52,SAZ,IND,3205
MD94_04B,-50.38,90.25,PFZ,IND,4036
MD94_05B,-48.8,89.54,PFZ,IND,3730
MD94_06B,-44.67,90.08,SAZ,IND,3315
MD94_07B,-41.72,90.28,SAZ,IND,2768
MD94_102,-43.51,79.84,SAZ,IND,3205
MD94_104,-46.48,88.07,SAZ,IND,3460
MD94_107,-47.77,90.24,SAZ,IND,3525
MD97_2101,-43.5,79.84,SAZ,IND,3145
MD97_2104,-46.04,96.48,SAZ,IND,3310
MD97_2105,-47.19,104.48,SAZ,IND,3300
NBP_MC1,-73.54,183.04,AZ,SWP,561
NBP_MC10,-53.04,185.31,SAZ,SWP,5470
NBP1402_MC45,-66.4,120.3,AZ,IND,538
NBP1402_MC61,-66.13,120.5,AZ,IND,579
NBP9802_05MC1,-63.11,190.26,AZ,SWP,2927
NBP9802_07MC1,-60.24,189.81,PFZ,SWP,3860
NBP9802_08MC1,-58.69,190.02,PFZ,SWP,4324
ODP1121A,-50.9,177,SAZ,SWP,4492
ODP1170C,-47.15,146.05,SAZ,SWP,2703
PS1380_1,-70.01,-9.99,AZ,ATL,2072
PS1386_1,-68.33,-5.62,AZ,ATL,4395
PS1387_1,-68.73,-5.84,AZ,ATL,2425
PS1394_1,-70.09,-6.68,AZ,ATL,1938
PS1455_4,-65.43,1.85,AZ,ATL,2660
PS1751_2,-44.5,10.48,SAZ,ATL,4770
PS1752_5,-45.62,9.61,SAZ,ATL,4507
PS1755_1,-47.79,7.1,SAZ,ATL,4263
PS1759_1,-50.17,5.76,AZ,ATL,3717
PS1765_1,-51.83,4.86,AZ,ATL,3749
PS1768_1,-52.59,4.47,AZ,ATL,3331
PS1771_4,-53.76,3.78,AZ,ATL,1811
PS1772_2,-55.46,1.16,AZ,ATL,4136
PS1773_2,-56.32,-0.48,AZ,ATL,3259
PS1774_1,-54.65,-2.87,AZ,ATL,2449
PS1775_5,-50.95,-7.5,AZ,ATL,2516
PS1776_6,-49.73,-8.77,PFZ,ATL,3155
PS1777_7,-48.23,-11.03,PFZ,ATL,2556
PS1778_1,-49.01,-12.7,PFZ,ATL,3361
