Acanthodesmia_micropora,Acanthodesmia_viniculata,Acanthosphaera_spp.,Acrobotrys_teralans,Acrosphaera_arktios,Acrosphaera_mercurius,Acrosphaera_murrayana,Acrosphaera_spinosa,Actinomma_antarcticum,Actinomma_boreale,Actinomma_delicatulum,Actinomma_hastatum,Actinomma_leptodermum_s.l.,Actinomma_medianum,Actinomma_popofskii,Actinomma_sol,Actinomma_spp.,Actinomma_trinacria,Actinosphaera_spp.,Amphiplecta_acrostoma,Amphirhopalum_ypsilon,Anomalocantha_dentata,Antarctissa_denticulata,Antarctissa_spp.,Antarctissa_strelkovi,Stichopilidium_kruegeri,Anthocyrtidium_zanguebaricum,Arachnocorys_umbellifera,Archipilium_orthopterum,Artobotrys_borealis,Artostrobus_annulatus,Artostrobus_joergenseni,Axoprunum_stauraxonium,Botryocephalina_armata,Botryocyrtis_scutum,Botryopyle_cribrosa,Botryopyle_inflata,Botryostrobus_aquilonaris,Botryostrobus_auritus/australis,Botryostrobus_spp.,Carpocanarium_papillosum,Carpocanistrum_spp.,Cenosphaera_cristata,Cenosphaera_perforata,Cenosphaera_spp.,Ceratocyrtis_histricosa,Cladococcus_abietinus,Cladoscenium_ancoratum,Cladoscenium_limbatum,Cladoscenium_sp._1,Cladoscenium_tricolpium,Clathrocanium_coarctatum,Corythospyris_stapedius,Collosphaera_confossa,Collosphaera_huxleyi,Collosphaerid,Cornutella_profunda,Corocalyptra_craspedota,Pseudodictyophimus_horrida,Cubotholus_spp.,Cycladophora_bicornis,Cycladophora_davisiana_cornutoides,Cycladophora_davisiana_davisiana,Cypassis_irregularis,Cypassis_spp.,Cyrtopera_laguncula,Dendrospyris_spp.,Dictyocoryne_profunda,Dictyophimus_archipilium,Pterocanium_auritum,Dictyophimus_crisiae/hirundo,Dictyophimus_infabricatus,Dictyophimus_killmari,Dictyophimus_macropterus,Dictyophimus_spp.,Didymocyrtis_tetrathalamus,Druppatractus_irregularis,Stylatractus_ostracion,Druppatractus_variabilis,Enneaphormis_rotula,Euchitonia_elegans/furcata_gr.,Eucyrtidium_acuminatum,Eucyrtidium_annulatum,Eucyrtidium_anomalum,Eucyrtidium_calvertense,Eucyrtidium_cienkowskii,Eucyrtidium_hexagonatum,Eucyrtidium_hexastichus,Eucyrtidium_octocolum,Eucyrtidium_spp.,Eucyrtidium_teuscheri,Euphysetta_elegans,Euphysetta_nathorstii,Euphysetta_staurocodon,Gondwanaria_campanulaeformis,Gondwanaria_dogieli,Gondwanaria_spp.,Gonosphaera_primordialis,Heliodiscus_asteriscus,Hexalonche_amphisiphon,Hexacontium_arachnoidale,Hexacontium_enthacanthum,Hexacontium_gigantheum,Hexacontium_laevigatum,Hexacontium_melpomene,Hexacontium_pachydermum,Hexapyle_dodecantha,Hexastylus_spp.,Hymeniastrum_euclidis,Lamprocyclas_hannai,Lamprocyclas_maritalis_s.l.,Lampromitra_coronata,Lampromitra_quadricuspis,Litheliidae/Pyloniidae,Larcopyle_buetschlii,Larcopyle_polyacantha,Larcopyle_pylomaticus,Larcopyle_weddellium,Larcospira_bulbosa,Larcospira_quadrangula,Larnacilla_typus,Lipmanella_dictyoceras,Lirella_melo,Liriospyris_reticulata,Litharachnium_tentorium,Lithelius_minor,Lithelius_nautiloides,Lithelius_spiralis,Lithelius_sp._1,Lithocampe_?_furcaspiculata,Lithocampe_?_platycephala,Lithomelissa_setosa,Lithomelissa_sp._B,Lithomelissa_hystrix,Lithomelissa_laticeps,Lithomelissa_sp._A,Lithomelissa_spp.,Lithomelissa_thoracites,Lithostrobus_cuspidatus,Lonchosphaera_spicata,Lophophaena_buetschlii,Lophophaena_hispida,Lophophaena_spp.,Lophospyris_pentagona,Mitrocalpis_araneafera,Solenosphaera_zanguebarica,Peridium_longispinum,Peripyramis_circumtexta,Peromelissa_phalacra,Phormacantha_hystrix,Phormospyris_stabilis,Phormostichoartus_corbula,Phorticium_clevei,Plectacantha_cremastoplegma,Plectacantha_oikiskos,Plectopyramis_dodecomma,Porodiscus_spp.,Protocystis_balfouri,Protocystis_harstoni,Protocystis_swirei,Pseudocubus_obeliscus,Pseudodictyophimus_platycephalus,Pseudodictyophimus_bicornis,Pseudodictyophimus_gracilipes,Pseudodictyophimus_gracilipes_multispinus,Pterocanium_korotnevi,Pterocanium_praetextum_eucolpum,Pterocanium_praetextum_praetextum,Pterocanium_charybdeum,Pterocorys_clausus/zancleus,Pterocorys_minythorax,Pteroscenium_pinnatum,Pylospira_octopyle,Rhizoplegma_boreale,Saccospyris_antarctica,Saccospyris_conythorax,Saccospyris_spp.,Saturnalis_circularis,Schizodiscus_stylotrochoides,Sethoconus_tabulatus,Siphocampe_arachnea,Siphocampe_lineata,Siphonosphaera_socialis,Sphaeropyle_antarctica,Sphaeropyle_robusta,Spongocore_cylindricus,Spongodiscus_resurgens,Spongopyle_osculosa,Spongotrochus/Spongopyle_spp.,Spongotrochus_glacialis,Stichocorys_seriata,Stichopilium_bicorne,Stylatractus_neptunus,Stylatractus_sp._A,Stylatractus_spp.,Stylochlamydium_asteriscus,Stylochlamydium_spp.,Stylochlamydium_venustum,Stylodictya_aculeata,Stylodictya_spp.,Stylodictya_tenuispina,Stylodictya_validispina,Styptosphaera_spumacea,Tetraphormis_dodecaster,Tetrapyle_octacantha/stenozona,Theocorys_veneris,Theocorythium_trachelium,Tholospyris_gephyristes,Triceraspyris_antarctica,Trissocyclidae,Trisulcus_testudus,Trisulcus_triacanthus,Zygocircus_productus_gr.
0,0,0,0,0,0,0,0,0,3.624733475,1.70575693,0,2.985074627,0,1.70575693,0,1.70575693,0,0,0,0,0,23.24093817,0,4.051172708,0,0,0,0,0,0,0.213219616,0,0,0,0,0,0,0,0,0.426439232,0,2.345415778,0,0.213219616,0,0,0,0,0,0,0,0,0,0,0,1.066098081,0,0,0,0.213219616,0.213219616,4.264392324,0,0,0.213219616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213219616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.771855011,0.213219616,0.213219616,2.771855011,0.639658849,0,0,0,0,0,0,0.426439232,0.213219616,2.558635394,0,1.066098081,0.852878465,2.558635394,0,0,0,0,1.279317697,0,0,0,0,0,0,0,0,0,0,0,0.213219616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.345415778,0,0,0,0,0,0,0,0,0,0,1.492537313,0,0,0,0,0.213219616,3.837953092,0,0,2.558635394,0,0,0.213219616,1.279317697,2.345415778,2.985074627,0,0,0.426439232,0,0,0,0,0,3.411513859,0,2.345415778,0,0,0,0,0,0,0,7.462686567,0,0,0,0
0,0,0,0,0,0,0,0,0,0.322580645,0.64516129,0,0.322580645,0,0.322580645,0,0,0,0,0,0,0,39.35483871,0,4.193548387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.967741935,0,0.322580645,0,0,0.322580645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.935483871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.806451613,0,0,3.225806452,0.64516129,0,0,0,0,0,0,0,1.290322581,5.806451613,0,0,0.64516129,2.258064516,0,0,0,0,0.967741935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.322580645,0,0,0,0,0,0,0,0,0.322580645,0,0,0,0,0,0,0,0,0,0,0.64516129,0,0,0,0,0,0,0,0,0,0,0,0.64516129,0.64516129,8.387096774,5.161290323,0,0,0.322580645,0,0,0,0,0,0,0,0.967741935,0,0,0,0,0,0,0,6.451612903,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.273224044,0,0,0,0.273224044,0,0,0,0,0,60.38251366,0,11.47540984,0,0,0,0,0,0,0,0,0,0,0,0,0,1.092896175,0,0,0,0.546448087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.546448087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.819672131,1.092896175,0,0.819672131,0,0,0,0,0,0,0,0.273224044,0,4.098360656,0,0.273224044,3.005464481,0,0,0,0,0,1.366120219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273224044,0,0,0,0,0,0,0,0,0,0,0.819672131,0,0,0,0,0.273224044,0,0,0,0,0,0,0,0,3.551912568,2.732240437,0,0,0,0,0,0,0,0,0,0,1.366120219,0,0,0,0,0,0,0,0.819672131,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.286532951,0,0,0,0,0,0,0,0,0,65.9025788,0,17.76504298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.859598854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286532951,0,0.286532951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286532951,0,0.286532951,0,0,0,0,0,0,0,0,0,0,0,0.859598854,0.573065903,1.146131805,0,0,0,0,4.871060172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286532951,0,0,0,0,0,0,0,0,0,0.286532951,0.286532951,0,0,0,0,0,0,0,0,0,0,0.286532951,0,0,0,0,0,0,0,0,0,0,0,0,0,1.146131805,1.146131805,0,0,0,0,0,0,0,0,0,0,0.573065903,0,0,0,0,0,0,0,1.146131805,0,0.286532951,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.89772727,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.568181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.852272727,0,0.284090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.988636364,0,0.284090909,0.284090909,1.420454545,0,0,0,0,7.386363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.568181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.852272727,0,0,0,0,0,0,0,0,0,0,0,0.568181818,0,0,0,0,0,0,0,0.568181818,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.1686747,0,4.819277108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301204819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.903614458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301204819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.409638554,0.301204819,0,0.301204819,0,0,0,0,0,0,0,0,0,1.506024096,0,0.301204819,1.506024096,0.602409639,0,0,0,0,17.77108434,0,0,0,0,0,0,0,0,0,0,0,0,0,6.626506024,0,0,0,0,3.915662651,0,0,0,0,0,0.301204819,0,0,1.204819277,0,0,0,0,0,0,0,0,0,0,0.301204819,0,0,0,0,0,0,0,0,0,0,0,0,0,0.602409639,1.506024096,0,0,0,0,0,0,0,0,0,0,1.506024096,0,0,0,0,0,0,0,2.409638554,0.301204819,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.21367521,0,16.52421652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.854700855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.854700855,0,0,0,0,0,0,0,0,0,0,0,0,0.56980057,0,0,0,0,0,0,0,0,2.564102564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284900285,0,0,0,0,0,0,0,0,0,0,0,0.56980057,0,0.56980057,0.56980057,0,0,0,0,0,0,0,0,0,0,0.284900285,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1.049868766,0,0,0,0,0,0,0.262467192,0.524934383,0,4.98687664,0,0.787401575,0,3.412073491,1.837270341,0,0,0,0,0,0,0.262467192,0,0,0,0,0,0,0,1.57480315,0,0,0,0,6.299212598,2.887139108,0,0,0,1.049868766,0.262467192,0.524934383,0,0,0,0,0,0,0,0,0,0,0,0,0.787401575,0,0,0.262467192,0,0,0,0,0,0,1.312335958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.937007874,0,0,0,0,0,0.262467192,0,0.524934383,0,0,0.787401575,0.262467192,0,0,6.299212598,0,0,0,0.262467192,0,0,0.262467192,0,0,0,0,6.824146982,0,0,0,0,0,1.049868766,0,0.524934383,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262467192,0,0,0,0,4.724409449,0,0,0,0,0,0,0,0,0.262467192,0.524934383,0.524934383,0,0,0,0,0,0.262467192,0,0,0.524934383,0,0,0.262467192,0,0,0,0,0,0,0,0,0,0,0,6.036745407,8.923884514,0.787401575,0,0,0.262467192,0,0,0,0.524934383,0.524934383,1.57480315,0.787401575,0,7.874015748,0.262467192,0,10.49868766,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.626959248,1.253918495,0,1.253918495,0,0,0,0,0,0,0,0,0,11.91222571,0,3.448275862,0,0,0,0,0,0,1.253918495,0,0,0,0,0,0,0.313479624,0,0,0,0.626959248,0,0,0,0,0.626959248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5830721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313479624,0,0,0,0,0,0,0,0,0,0,0,0.313479624,0,0,0,0,0.626959248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.821316614,0,4.702194357,0,0,0.940438871,1.567398119,0,0,0.313479624,0,0,0,0.313479624,0,0,0,0.313479624,2.507836991,5.015673981,0,0,0,0,4.702194357,0,0,0,0,0,0,0,0,1.880877743,0,1.253918495,0.313479624,0,1.880877743,0,0,1.253918495,0,0.313479624,0,0,0,0,0,0,0,0.313479624,5.329153605,0,0,0,0,0,0,0,0,0,0.940438871,0,0.313479624,0,0,0.313479624,0,0.626959248,0,0,0,0,0,1.567398119,2.821316614,4.702194357,6.896551724,0,0,0.313479624,0,0,0,0,0,0,0,1.253918495,0,0,0,0,0,0,0,0.626959248,0.940438871,0,0,0
0,0,0,0,0,0,0,0,0,1.546391753,2.06185567,0,1.546391753,0,0,0,0,0,0,0,0,0,28.35051546,0,4.12371134,0,0,0,0,0,0,0.515463918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.515463918,0,0,0,1.546391753,0,3.608247423,0,0,0.515463918,0,0,0,0,0,0,0,0,0,0,0,0,0,0.515463918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.515463918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.546391753,0,3.092783505,0,0,1.030927835,1.030927835,0,0,0,0,0,0,0,0,1.546391753,0,0,2.577319588,3.092783505,0,0,0,0,1.546391753,0,0,0,0,0,0,0,0,0,0,0,0.515463918,0,1.546391753,0,0,0.515463918,0,1.030927835,0,0,0,0,0,0,0.515463918,0,3.608247423,0,0,0,0,0,0,0,0,0,0.515463918,0,0,0,0,0,0,0,0,0,0,0,0,1.030927835,2.577319588,6.701030928,5.154639175,0,0,0,0,0,0,0,0,1.030927835,0,2.06185567,0,0,0,0,0,0,0,0.515463918,0,0,0,0
